title
"""베트남·인니서 쌓은 엘포인트, 韓에서 쓴다""...롯데멤버스, 업계 최초 해외 연동"
온라인 쇼핑의 일상화…장보기에서 가전까지 영역 확대
"서울시청 스케이트장, 제로페이로 30% 할인"
"롯데멤버스, 전국 KFC 177개점에 엘페이 적용"
경기 불황 속 '그들만의 리그'…백화점 명품 매출 증가
"""덜 덥고 덜 추워서""... 유통가 ‘계절특수’ 사라졌다"
"철없는 날씨와 미세먼지, 소비자 지갑 여닫은 ‘요물’"
“온라인·클린가전·뉴트로”
올해 하반기 유통 트렌드 '온라인쇼핑·클린가전·뉴트로'
"덜 덥고 추운 여름과 겨울…""하반기 유통가 '계절특수' 사라져"""
올 하반기 트렌드…온라인·클린가전·뉴트로
"유연근무제·육아휴직 확산…롯데, 가족친화 기업문화 이끈다"
"롯데그룹, 가족친화 기업문화 혁신 …""직원 자긍심 제고"""
VVIP ‘그들만의 리그’ 탄탄…명품에 아낌없는 20대·70대
VVIP 그들만의 리그.. 20대·70대가 명품에 지갑 연다
"롯데멤버스, 우리은행 제휴 금융상품 2종 출시"
"롯데멤버스, 우리은행 제휴해 적금·수시입출금 예금상품 출시"
"롯데멤버스 ""전국 KFC 매장에서 엘페이 결제하세요"""
"""이제 KFC 177개 매장에서도 '엘페이 간편결제' 이용하세요"""
롯데 신동빈 아래… 동갑내기 '황·송' 투톱
세대교체 칼 빼든 신동빈… 계열사 대표 22명 한꺼번에 바꿔
롯데 송용덕·황각규 투톱체제로…계열사 대표 대거 줄였다
"롯데케미칼, 김교현 통솔 아래 쌍두마차 체제"
"롯데그룹, 계열사 22곳 CEO 교체"
세대교체 택한 신동빈의 '뉴롯데'…계열사 CEO 40% 교체 '초강수'
"롯데 인사, 뚜껑열어보니…인사·조직 대수술"
"위기의 롯데, 세대교체로 탈출구 찾는다"
"신동빈의 생존위기…'옥상옥' 대표 싹 교체, 50대 CEO 배치"
"뉴롯데, 대대적 인적 쇄신 나섰다…황각규-송용덕 `투톱` 체제 구축"
'비상경영' 롯데 인사 3大 키워드는…'50대·원톱·글로벌'
[프로필]전형식 롯데멤버스 대표이사
"롯데그룹, 2020년 정기 임원인사…과감한 인적쇄신 단행"
롯데지주 황각규·송용덕 '투톱' 체제로…유통BU장에 강희태(종합)
롯데 계열사 대표 22명 대규모 교체…'황각규-송용덕' 투톱 체제
"롯데, BU장 절반 교체…유통부문 '강희태 원톱' 통합 강수"
"[롯데 정기 인사] 신동빈 회장, '안정'보다 '쇄신' 택했다"
"롯데, 황각규-송용덕 투톱체제로…부문별 단독 대표로 효율성 올린다"
"[인사] 롯데그룹, 미래 성장 위한 조직개편과 젊은 인재로 세대교체"
롯데 유통BU장에 강희태 롯데百 대표…계열사 대표 22명 교체
"칼 빼든 신동빈, 롯데 '조직 개편·세대 교체' 단행(상보)"
"[TF초점] 신동빈 회장, 오늘(19일) 인적쇄신 칼 뺀다…롯데 긴장감 최고조"
"송용덕 부회장, 롯데지주 공동대표 내정…황각규와 투톱체제로"
"[이슈+] ""바뀌어야 산다""…연말 유통가 '쇄신 인사' 칼바람"
변화 선택한 신동빈… 대표급 10명 이상 대폭 물갈이
롯데도 칼 빼들었다…'비상경영' CJ에 쏠리는 눈
"신동빈도 칼 뺐다…롯데, 대규모 쇄신인사 예고"
"신동빈도 칼 뺐다···대표급 10명, 임원 100명 이상 물갈이"
롯데 유통 계열사 대표 절반 물갈이...강희태 유통 BU장으로 선임
롯데 유통BU장 강희태 내정...대규모 쇄신 인사 단행되나
[2019 하반기 인기상품]마케팅우수-한국간편결제진흥원/간편결제 인프라/제로페이
"롯데, 백화점 황범석·슈퍼 남창희…유통 계열사 대표 절반 '물갈이'"
"[단독] 롯데그룹 유통BU장 강희태, 호텔BU장 이봉철"
“앱 하나로 금융거래“ 오픈뱅킹 활짝…금융 주도권 진검승부 시작된다
"롯데멤버스, 한국건강가정진흥원 가족친화인증 최우수기업 선정"
와인 구매고객은 '치즈·과자' vs 소주 고객 '담배' 함께 산다
[패션&뷰티]LoL 입은 루이비통…명품가 밀레니얼 세대 겨냥 협업 눈길
"롯데멤버스, 롯데자이언츠와 함께 유니세프에 후원금 전달"
"롯데멤버스, 유니세프 스쿨스포아시아 후원금 전달"
"롯데멤버스, 유니세프에 아시아 11개국 어린이 교육 후원"
"롯데멤버스, 아시아 어린이 교육 지원에 1억원 전달"
‘6억 시계 완판’ ‘4900원 와인 불티’…우리가 ‘사는’ 다른 세상
"""샤넬백 대기만 10개월?""…불황 속 나홀로 잘나가는 명품"
