title_dt,body_dt
롯데지주 황각규·송용덕 '투톱' 체제 가동,롯데월드는 1989년 입사한 최홍훈 전무가 최초의 공채 출신 대표이사가 됐습니다.
롯데지주 황각규·송용덕 '투톱' 체제 가동,"롯데상사 대표에는 정기호 상무가, 캐논코리아비즈니스솔루션 대표에는 최세환 상무가 전무로 승진하며 내정됐습니다."
[인사] 롯데그룹,▲대표이사 및 단위조직장 승진
[인사] 롯데그룹,롯데그룹 유통BU장 부회장 강희태
[인사] 롯데그룹,롯데쇼핑㈜ 통합대표이사 부회장 강희태 겸임
[인사] 롯데그룹,롯데지주㈜ 경영개선실장 사장 박현철
[인사] 롯데그룹,롯데홈쇼핑 대표이사 사장 이완신
[인사] 롯데그룹,롯데케미칼㈜ 첨단소재사업 대표 내정 부사장 이영준
[인사] 롯데그룹,㈜코리아세븐 대표이사 전무 최경호
[인사] 롯데그룹,롯데멤버스㈜ 대표이사 내정 전무 전형식
[인사] 롯데그룹,롯데지주㈜ 재무혁신실장 전무 추광식
[인사] 롯데그룹,캐논코리아비즈니스솔루션㈜ 대표이사 내정 전무 최세환
[인사] 롯데그룹,▲대표이사 및 단위조직장 보임
[인사] 롯데그룹,롯데지주㈜ 이사회 의장 / 대표이사 부회장 황각규 
[인사] 롯데그룹,롯데지주㈜ 대표이사 내정 부회장 송용덕
[인사] 롯데그룹,롯데그룹 호텔&amp;서비스BU장 사장 이봉철
[인사] 롯데그룹,롯데케미칼㈜ 통합 대표이사 사장 김교현 겸임
[인사] 롯데그룹,롯데물산㈜ 대표이사 내정 사장 김현수
[인사] 롯데그룹,롯데케미칼㈜ 기초소재사업 대표 부사장 임병연
[인사] 롯데그룹,롯데쇼핑㈜ 마트사업부장 부사장 문영표
[인사] 롯데그룹,롯데칠성음료㈜ 통합 대표이사 부사장 이영구
[인사] 롯데그룹,㈜씨텍 대표이사 내정 전무 모영문
[인사] 롯데그룹,롯데쇼핑㈜ 슈퍼사업부장 전무 남창희
[인사] 롯데그룹,㈜롯데자이언츠 대표이사 내정 전무 이석환
[인사] 롯데그룹,롯데쇼핑㈜ H&amp;B사업부장 전무 홍성호
[인사] 롯데그룹,롯데비피화학㈜ 대표이사 내정 전무 김용석
[인사] 롯데그룹,롯데정밀화학㈜ 대표이사 전무 정경문
[인사] 롯데그룹,롯데쇼핑㈜ 백화점사업부장 전무 황범석
[인사] 롯데그룹,㈜호텔롯데 롯데월드 대표이사 내정 전무 최홍훈
[인사] 롯데그룹,㈜호텔롯데 대표이사 내정 전무 김현식
[인사] 롯데그룹,롯데중앙연구소장 전무 이경훤
[인사] 롯데그룹,롯데컬처웍스㈜ 대표이사 내정 전무 기원규
[인사] 롯데그룹,롯데쇼핑㈜ e커머스사업부장 전무 조영제
[인사] 롯데그룹,롯데상사㈜ 대표이사 상무 정기호
[인사] 롯데그룹,롯데엠시시㈜ 대표이사 상무 윤승호
[인사] 롯데그룹,▲승진 
[인사] 롯데그룹,◇롯데지주
[인사] 롯데그룹,"전무 차우철, 황용석"
[인사] 롯데그룹,상무 이재홍
[인사] 롯데그룹,상무보A 배극소
[인사] 롯데그룹,"상무보B 손명정, 김종근, 박상호, 백철수"
[인사] 롯데그룹,◇롯데제과
[인사] 롯데그룹,전무 최명림
[인사] 롯데그룹,상무 김용우
[인사] 롯데그룹,"상무보A 김진석, 이정훈"
[인사] 롯데그룹,"상무보B 이석렬, 조경운, Konstantin Fedorets, Anindya Dutta"
[인사] 롯데그룹,◇롯데칠성음료 음료BG
[인사] 롯데그룹,전무 장학영
[인사] 롯데그룹,상무 이동진
[인사] 롯데그룹,"상무보A 김광석, 진은선, 이양수"
[인사] 롯데그룹,"상무보B 임준범, 문효식"
[인사] 롯데그룹,◇롯데칠성음료 주류BG
[인사] 롯데그룹,상무보A 윤병일
[인사] 롯데그룹,상무보B 하용연
[인사] 롯데그룹,◇롯데푸드
[인사] 롯데그룹,전무 홍선택
[인사] 롯데그룹,상무 신재영
[인사] 롯데그룹,상무보A 최인태
[인사] 롯데그룹,상무보B 한상익
[인사] 롯데그룹,◇롯데지알에스
[인사] 롯데그룹,전무 김상형
[인사] 롯데그룹,상무보B 이장묵
[인사] 롯데그룹,◇롯데중앙연구소
[인사] 롯데그룹,상무 전진경
[인사] 롯데그룹,상무보B 윤원주
[인사] 롯데그룹,◇대홍기획
[인사] 롯데그룹,상무 조운행
[인사] 롯데그룹,상무보A 이승조
[인사] 롯데그룹,"상무보B 이창우, 양수경, 황인일"
[인사] 롯데그룹,◇롯데백화점
[인사] 롯데그룹,전무 유형주
[인사] 롯데그룹,"상무 이재옥, 나연"
[인사] 롯데그룹,"상무보A 손을경, 김선민, 감동훈 "
[인사] 롯데그룹,"상무보B 임종욱, 정후식, 이종성, 추대식, 조환섭, 이청연"
[인사] 롯데그룹,◇롯데마트
[인사] 롯데그룹,"상무 이학재, 류경우"
[인사] 롯데그룹,상무보A 김정한
[인사] 롯데그룹,상무보B 김보경
[인사] 롯데그룹,◇롯데슈퍼
[인사] 롯데그룹,상무보A 조수경
[인사] 롯데그룹,상무보B 나종갑
[인사] 롯데그룹,◇롯데e커머스
[인사] 롯데그룹,상무 김현수
[인사] 롯데그룹,"상무보A 오정훈, 이재훈"
[인사] 롯데그룹,"상무보B 최희관, 박달주"
[인사] 롯데그룹,◇롯데하이마트
[인사] 롯데그룹,상무 맹중오
[인사] 롯데그룹,상무보A 김남호
[인사] 롯데그룹,"상무보B 이상학, 선용훈, 윤용오, 문총"
[인사] 롯데그룹,◇코리아세븐
[인사] 롯데그룹,상무보A 이우식
[인사] 롯데그룹,"상무보B 이항무, 권영광"
[인사] 롯데그룹,◇롯데홈쇼핑
[인사] 롯데그룹,"상무보A 유혜승, 강재준"
[인사] 롯데그룹,"상무보B 박형규, 진호"
[인사] 롯데그룹,◇롯데컬처웍스
[인사] 롯데그룹,상무보A 김재철
[인사] 롯데그룹,◇롯데글로벌로지스
[인사] 롯데그룹,전무 안대준
[인사] 롯데그룹,"상무보A 서병곤, 장기룡, 백승기"
[인사] 롯데그룹,◇롯데자산개발
[인사] 롯데그룹,전무 안호명
[인사] 롯데그룹,상무보A 정동필
[인사] 롯데그룹,"상무보B 장민호, 조석민"
[인사] 롯데그룹,◇롯데멤버스
[인사] 롯데그룹,상무 김태홍
[인사] 롯데그룹,◇호텔롯데
[인사] 롯데그룹,"상무보A 김상민, 심희승"
[인사] 롯데그룹,"상무보B 조용성, 장여진"
[인사] 롯데그룹,◇롯데면세점
[인사] 롯데그룹,전무 이종환
[인사] 롯데그룹,"상무 이승국, 김주남"
[인사] 롯데그룹,"상무보A 이정민, 홍성준"
[인사] 롯데그룹,"상무보B 이준영, 안대현"
[인사] 롯데그룹,◇롯데월드
[인사] 롯데그룹,상무보A 박상일
[인사] 롯데그룹,상무보B 박미숙
[인사] 롯데그룹,◇롯데렌탈
[인사] 롯데그룹,전무 김경우
[인사] 롯데그룹,"상무보A 이준규, 김경봉"
[인사] 롯데그룹,"상무보B 이장섭, 구범석"
[인사] 롯데그룹,◇롯데물산
[인사] 롯데그룹,상무 이강훈
[인사] 롯데그룹,◇롯데상사
[인사] 롯데그룹,상무보B 서광식
[인사] 롯데그룹,◇캐논코리아비즈니스솔루션
[인사] 롯데그룹,상무 박정우
[인사] 롯데그룹,상무보B 허용구
[인사] 롯데그룹,◇롯데케미칼
[인사] 롯데그룹,"전무 허광식, 임동희"
[인사] 롯데그룹,"상무 김진엽, 박수성, 송보근"
[인사] 롯데그룹,"상무보A 김기순, 이영재, 김일규, 김용학, 최창휴, Humair Ijaz"
[인사] 롯데그룹,"상무보B 이성현, 천양식, 조진우, 김철중, 강일, 박서민, 조성욱"
[인사] 롯데그룹,◇롯데첨단소재
[인사] 롯데그룹,전무 김연섭
[인사] 롯데그룹,"상무보A 강수경, 김성호, 박강열"
[인사] 롯데그룹,상무보B 양환석
[인사] 롯데그룹,◇롯데정밀화학
[인사] 롯데그룹,상무 강상호
[인사] 롯데그룹,"상무보A 서정열, 김도윤"
[인사] 롯데그룹,상무보B 곽용성
[인사] 롯데그룹,◇롯데비피화학
[인사] 롯데그룹,상무보A 이근영
[인사] 롯데그룹,상무보B 성규철
[인사] 롯데그룹,◇LC Titan
[인사] 롯데그룹,상무보A 강종원
[인사] 롯데그룹,◇LC USA
[인사] 롯데그룹,상무보A 한경조
[인사] 롯데그룹,◇롯데건설
[인사] 롯데그룹,"전무 이부용, 임영균"
[인사] 롯데그룹,"상무 박순전, 김돈상"
[인사] 롯데그룹,"상무보A 강우선, 고용주, 김태완, 김규동, 정광수, 김성근"
[인사] 롯데그룹,"상무보B 노동호, 주영수, 김영일, 이용석, 차길봉 "
[인사] 롯데그룹,◇CM사업본부
[인사] 롯데그룹,상무 전구호
[인사] 롯데그룹,◇롯데알미늄
[인사] 롯데그룹,상무 최연수
[인사] 롯데그룹,상무보A 이상원
[인사] 롯데그룹,상무보B 최문규
[인사] 롯데그룹,◇롯데정보통신
[인사] 롯데그룹,전무 노준형
[인사] 롯데그룹,"상무보A 오영식, 김성환, 박종표"
[인사] 롯데그룹,"상무보B 김영철, 박종남"
[인사] 롯데지주,◇ 대표이사 및 단위조직장
[인사] 롯데지주,▲롯데그룹 유통BU장 부회장 강희태 ▲롯데쇼핑㈜ 통합대표이사 부회장 강희태 겸임 ▲롯데지주㈜ 경영개선실장 사장 박현철 ▲롯데홈쇼핑 대표이사 사장 이완신 ▲롯데케미칼㈜ 첨단소재사업 대표 내정 부사장 이영준 ▲㈜코리아세븐 대표이사 전무 최경호 ▲롯데멤버스㈜ 대표이사 내정 전무 전형식 ▲롯데지주㈜ 재무혁신실장 전무 추광식 ▲캐논코리아비즈니스솔루션㈜ 대표이사 내정 전무 최세환
[인사] 롯데지주,&lt;보임&gt;
[인사] 롯데지주,◇ 대표이사 및 단위조직장
[인사] 롯데지주,▲롯데지주㈜ 이사회 의장 / 대표이사 부회장 황각규 ▲롯데지주㈜ 대표이사 내정 부회장 송용덕 ▲롯데그룹 호텔&amp;서비스BU장 사장 이봉철 ▲롯데케미칼㈜ 통합 대표이사 사장 김교현 겸임 ▲롯데물산㈜ 대표이사 내정 사장 김현수 ▲롯데케미칼㈜ 기초소재사업 대표 부사장 임병연 ▲롯데쇼핑㈜ 마트사업부장 부사장 문영표 ▲롯데칠성음료㈜ 통합 대표이사 부사장 이영구 ▲㈜씨텍 대표이사 내정 전무 모영문 ▲롯데쇼핑㈜ 슈퍼사업부장 전무 남창희 ▲㈜롯데자이언츠 대표이사 내정 전무 이석환 ▲롯데쇼핑㈜ H&amp;B사업부장 전무 홍성호 ▲롯데비피화학㈜ 대표이사 내정 전무 김용석 ▲롯데정밀화학㈜ 대표이사 전무 정경문 ▲롯데쇼핑㈜ 백화점사업부장 전무 황범석 ▲㈜호텔롯데 롯데월드 대표이사 내정 전무 최홍훈 ▲㈜호텔롯데 대표이사 내정 전무 김현식 ▲롯데중앙연구소장 전무 이경훤 ▲롯데컬처웍스㈜ 대표이사 내정 전무 기원규 ▲롯데쇼핑㈜ e커머스사업부장 전무 조영제 ▲롯데상사㈜ 대표이사 상무 정기호 ▲롯데엠시시㈜ 대표이사 상무 윤승호
[인사] 롯데지주,&lt;승진&gt;
[인사] 롯데지주,◇전무
[인사] 롯데지주,▲차우철 ▲황용석
[인사] 롯데지주,◇상무
[인사] 롯데지주,▲이재홍
[인사] 롯데지주,◇상무보A
[인사] 롯데지주,▲배극소
[인사] 롯데지주,◇상무보B
[인사] 롯데지주,▲손명정 ▲김종근 ▲박상호 ▲백철수
[인사] 롯데지주,◇전무
[인사] 롯데지주,▲최명림
[인사] 롯데지주,◇상무
[인사] 롯데지주,▲김용우
[인사] 롯데지주,◇상무보A
[인사] 롯데지주,▲김진석 ▲이정훈
[인사] 롯데지주,◇상무보B
[인사] 롯데지주,▲이석렬 ▲조경운 ▲Konstantin Fedorets ▲Anindya Dutta
[인사] 롯데지주,◇전무
[인사] 롯데지주,▲장학영
[인사] 롯데지주,◇상무
[인사] 롯데지주,▲이동진
[인사] 롯데지주,◇상무보A
[인사] 롯데지주,▲김광석 ▲진은선 ▲이양수
[인사] 롯데지주,◇상무보B
[인사] 롯데지주,▲임준범 ▲문효식
[인사] 롯데지주,◇상무보A
[인사] 롯데지주,▲윤병일
[인사] 롯데지주,◇상무보B
[인사] 롯데지주,▲하용연
[인사] 롯데지주,◇전무
[인사] 롯데지주,▲홍선택
[인사] 롯데지주,◇상무
[인사] 롯데지주,▲신재영
