title_dt,body_dt
금주(12월 20일~26일)의 신설법인,") 동작구 남부순환로261길 4 (사당동)							▷우원씨앤씨(박준형·10·주택건설사업) 마포구 모래내로1길 20 205호 (성산동,케이씨씨상암스튜디오)							▷웅진씨티개발(임재관·32905·주택건설업) 구로구 디지털로 306 810호 (구로동,대륭포스트타워2차)							▷유니콘(최명순·100·주택건설업) 서초구 서초대로 397 1510호 (서초동,부띠크모나코)							▷이에스대명건설(우대형·10·건축공사업) 양천구 목동중앙북로24길 11-21 B동 01호 (목동,대명노르웨이숲)							▷이엔디디자인(이해섭·1·실내 인테리어 디자인업) 송파구 충민로 66 엘-9049 (문정동,가든파이브라이프)							▷임하종합건설(박성자·350·건축공사업) 광진구 천호대로109길 10 (중곡동)							▷청암에너지(김미자·150·기계설비공사업) 구로구 디지털로27길 24 8층 (구로동)							▷한성엘엔씨(김미자·150·실내건축공사업) 구로구 디지털로27길 24 (구로동)							▷현대산업개발(강나윤·150·건축공사업) 성동구 성수이로 118 310호 (성수동2가,성수아카데미타워)							◇건자재							▷엠케이기업테크(김성훈·100·건축 자재 제조업) 구로구 디지털로33길 11 1006호 (구로동,에이스테크노타워8차)							▷토소쿼츠코리아(타가하시요시히로·3500·석영유리 및 세라믹의 제조, 구입 및 판매) 강남구 테헤란로 151 1113호 (역삼동,역삼하이츠빌딩)							▷하이톱기업테크(김지훈·100·건축 자재 제조업) 구로구 디지털로32가길 16 1206동 191호 (구로동,파트너스타워2차)							◇관광/운송							▷가온글로벌로지스(문상미·100·일반 및 특수 화물자동차 운송업) 금천구 디지털로9길 65 1304호 (가산동,백상스타타워1차)							▷멋진하루(신은주·20·국내 여행업) 강남구 영동대로85길 34 10층 1002호 (대치동,스파크플러스)							▷바바그라운드(허정·15·관광여행 알선) 강남구 역삼로 215 2층 (역삼동,남국빌딩)							▷베니슨인터내셔널(최성혁·300·보관알선, 하역, 창고 및 보관업) 강서구 공항대로 190 1004호 (마곡동,푸리마타워)							▷신주국제여행사(리저쥔·100·국내, 국외, 일반여행업) 구로구 디지털로31길 53 206호 (구로동,이앤씨벤처드림타워5차)							▷아시아써니투어(박형진·100·국내, 국외, 일반여행업) 종로구 종로 19 1626호 (종로1가,르메이에르종로타운)							▷에스원항공해운(서은경·300·국제물류 주선업) 강서구 개화동로11길 5 (개화동)							▷에스지투어코리아(윤세정·200·일반여행업) 강서구 공항대로 190 1204호 (마곡동,푸리마타워)							▷에프유인터내셔널(정용필·30·국내, 국외 및 일반여행사업) 중구 다산로 60 2층 (신당동)							▷우리에이엔티(정준남·200·국내,국외 여행업) 중구 무교로 15 508호 (무교동,남강빌딩)							▷캡틴글로벌투어(임위강·100·국내외 여행사업) 구로구 구로중앙로 134 4층 29호 (구로동,신구로자이나인스에비뉴)							▷파랑풍선(김성(JIN·50·여행 컨설팅업) 중구 남대문로7길 11 403호 (소공동,태양빌딩)							◇금속							▷다이애나글로벌(김인태·50·귀금속 제조업"
금주(12월 20일~26일)의 신설법인,") 종로구 율곡로10길 105 503호 (봉익동,디아망빌딩)							▷대한씨앤아이(신재윤·20·AL-몰드, AC-덕트 제조, 판매) 종로구 창경궁로 112-15 5층 502호 (인의동,세일빌딩)							◇기계							▷디에이치냉동산업(박성순·1·냉, 난방기기 및 부품 제조업) 송파구 오금로 519 402호 (거여동,스위트빌딩)							▷지라이트(김정문·30·건조, 소성 설비기계 제작 및 판매업) 영등포구 국회대로 800 3층 327호 (여의도동,여의도파라곤)							▷탑테이블(유현주·5·3차원 디지털 적층 성형기기 제조업) 강서구 마곡중앙8로1길 26 402호 (마곡동,(주)캐스트윈마곡신사옥)							◇농수축산							▷농업회사법인호성(정성현·100·영농에 필요한 종묘생산 및 종균배양사업) 강남구 영동대로 602 C동 6층 150호 (삼성동,삼성동미켈란)							▷베라바이오(김준연·71·새싹재배업) 금천구 가산디지털1로 19 805호 (가산동,대륭테크노타운18차)							▷완도바다(강성제·3·수산물 양식업) 강서구 우장산로2길 66 402호 (내발산동,퀸스빌)							◇무역							▷다호홀딩스(박다은·20·수출입 및 무역업 (식품,일반음료,주류,다류,생활용품,잡화,화장품,악세사리,의류등)"
금주(12월 20일~26일)의 신설법인,") 중구 명동8나길 18 601호 (충무로1가)							▷디앤페트로캠(김용현·10·화학제품 수출입업) 양천구 중앙로 294 6층 62호 (신정동,명성빌딩)							▷맨체스터코리아(윤인수·100·선용품, 생황용품 및 관련 제품의 수출입업) 서초구 잠원로14길 29 2층 210호 (잠원동,롯데복지센터빌딩)							▷베베니즈(이국봉(LI·200·의류, 잡화 수출입업) 은평구 수색로14길 5-5 101호 (수색동)							▷성욱아이앤씨(윤원기·10·가구 수츨입업) 송파구 송파대로32길 15 106동 1305호 (가락동,가락금호아파트)							▷세계실크로드물류유통그룹(박항진·10·국내외 무역상품 판매업.) 강남구 테헤란로37길 32-3 401호 (역삼동,삼성빌딩)							▷아르텍스튜디오(김기덕·100·화장용 스펀지 및 퍼프 수출 및 수입업) 강남구 강남대로 624 806호 (신사동,아이씨타워)							▷제이케이글로벌인코포레이티드(김정오·30·화학제품 수출입업) 서초구 강남대로 373 12층-114호 (서초동,홍우빌딩)							▷한국창여무역(한종수·15·무역업) 영등포구 국회대로36길 17 (당산동3가)							▷한중문화국제미디어(박대용·50·한중 영화, 드라마 수출입업"
금주(12월 20일~26일)의 신설법인,") 강남구 논현로 553 5층 (역삼동,삼정빌딩)							◇서비스/기타							▷101레시피(문인영·50·푸드스타일링) 성동구 연무장길 114 2층 (성수동2가)							▷감성에프앤비(지동화·5·휴게음식점업 및 프렌차이즈업) 강남구 봉은사로 317 803호 (논현동,아모제논현빌딩)							▷건축그룹파란건축사사무소(이장현·50·건축물의 설계 및 서비스업) 강남구 테헤란로 406 A동 1114호 (대치동,샹제리제센터)							▷겟썸모어(이승근·5·일반음식점업) 마포구 와우산로29마길 24-1 지층 (서교동)							▷골드로드(안정일·100·영화제작 및 배급업.) 강남구 봉은사로 430 2층 (삼성동)							▷골드솔라제일차(이동현·0·여유자금의 투자"
금주(12월 20일~26일)의 신설법인,") 영등포구 의사당대로 97 (여의도동)							▷골프락(신지웅·45·국내여행업) 종로구 통일로16길 4-1 2층 (무악동,올리비움)							▷공장맨(박정규·5·부동산 분양업) 금천구 벚꽃로 254 1509호 (가산동,월드메르디앙1차)							▷광장시앤디(김학준·300·부동산개발 및 시행사업) 광진구 천호대로 634 (능동)							▷그래이수학학원(차영우·15·학원 운영업) 노원구 중계로 220 401호, 402호, 403호 (중계동,조충빌딩)							▷그릿벤처스(하재환·1·경영 전략 자문서비스, 전략 기획 자문서비스) 송파구 중대로16길 11 401호 (가락동,수빌딩)							▷글로벌지역진흥플랫폼(주희수·1·지역 및 특산품 홍보, 판매, 마케팅) 서초구 강남대로 373 12층 (서초동,112 씨)							▷글로벌화이버프로바이더(정진혁·1000·자본시장과 금융투자업 관련 법령에 따라 허용되는 자금차입 또는 채무보증 기타 다른활동) 영등포구 국제금융로 10 42층 4210호 (여의도동,쓰리아이에프씨)							▷기업진흥연구원(오태진·1·일반 경영 자문) 강남구 삼성로 767 5층 (청담동)							▷김해주촌디에스(이동욱·1·김해주촌 유동화 대출 등의 취급과 관련) 서초구 매헌로 16 리빙관 318호 (양재동,하이브랜드)							▷꼼떼(이상우·10·일반음식점 운영업) 마포구 상암산로 34 지하1층 (상암동,디지털큐브빌딩)							▷퀌스(오준수·0·전자, 전기, 정보, 통신기기 및 그 주변기기 연구개발, 제조공급, 유통사업) 양천구 목동중앙본로 95 2층 (목동,용마빌딩)							▷네오밸류파트너(이종혁·1200·경영컨설팅업) 강남구 도산대로 139 14층 (신사동,제이타워)							▷네오빌리스(곽수현·950·기타 금융 투자업) 구로구 디지털로31길 41 611비제2호 (구로동,이앤씨벤쳐드림타워6차)							▷네이처앤컴퍼니(남지헌·50·경영컨설팅업) 강남구 언주로 609 A동 13층 (논현동,팍스타워)							▷넥스츄(송석근·0·정보처리기술에 관한 전문 서비스업) 양천구 신정로7길 75 양천구청년창업허브 9호 (신정동)							▷넥스트레저(문소연·50·골프예약 및 그 대행업) 성동구 상원1길 25 4216호 (성수동1가,에스오엘623빌딩)							▷노른자개발(조윤진·1·포장 공사업) 강남구 학동로 402 702호 (삼성동,천마빌딩)							▷노아파트너스(손종현·50·기업 경영자문 및 재무 컨설팅 사업) 용산구 한강대로 26 102동 1903호 (한강로3가,한강대우트럼프월드3차)							▷뉴메리크스튜디오(김민희·30·디지털광고기획 및 제작 등 광고업, 광고대행업, 광고매체판매업) 강남구 강남대로 584 6층 (논현동)							▷뉴원컨텐츠(김경태·10·방송 프로그램 제작업) 중구 소파로 141 2층 205호 (남산동3가,스타빌딩)							▷다온모기지(임종혁·10·저축은행 여신영업 대행) 강서구 마곡중앙로 161-17 10층 1007호 (마곡동,보타닉파크타워1)							▷다윈전략컨설팅(강원진·100·경영에 관한 종합 자문, 지원, 연구개발 및 컨설팅업) 송파구 법원로11길 11 A동 1402호 (문정동,현대지식산업센터1-1)							▷단해72(조명환·4·부동산 매매업) 송파구 백제고분로15길 56 B2호호 (잠실동)							▷대림중기(김민중·50·건설기계 대여업) 강동구 양재대로 1471 502-4호 (길동,동선빌딩)							▷대방메이저(이현주·100·학원 운영업) 영등포구 경인로108길 4 201호 (영등포동1가,신한헤스티아)							▷대호감(박종문·5·광고업 및 옥외, 전시 광고업) 강남구 역삼로 139 313호 (역삼동,성일빌딩)							▷더로고스(김승일·5·경영컨설팅업) 마포구 연남로 47 3층 301호 (연남동,영진빌딩)							▷더블에이치제일차(김석훈·0·목적자산의 취득에 필요한 자금의 차입 및 상환"
금주(12월 20일~26일)의 신설법인,") 영등포구 국제금융로6길 7 (여의도동)							▷더블유엠와이(문성준·50·주거용, 비주거용 부동산 임대업 및 전대업) 성동구 마조로5길 10-6 지하 (행당동)							▷더블피그커뮤니케이션즈(김정옥·5·마케팅 및 광고 대행업) 서초구 신반포로47길 105 4층 (잠원동,얼라인드빌딩)							▷더빌딩부동산중개법인(이웅렬·300·부동산중개업) 강남구 테헤란로 423 301호 (삼성동,현대타워)							▷더스마트(안중현·10·경영자문 및 컨설팅업) 강남구 선릉로76길 5-14 206호 (대치동,오페라하우스)							▷더웨이그룹(임효정·50·교육관련 자문 및 평가업) 마포구 독막로18길 22 (상수동)							▷더위너테크(김규학·10·연구용역업) 구로구 디지털로31길 41 611씨-8호 (구로동,이앤씨벤처드림타워6차)							▷더캑터스컴퍼니(박선영·1·부동산 임대 및 공급업) 마포구 백범로37길 12 107동 1502호 (신공덕동,신공덕1차삼성래미안아파트)							▷두원케이에스(정용근·30·인력채용 대행업) 서초구 논현로27길 21 301호 (양재동,청화빌딩)							▷디바인산업가스(김용환·5·다른 기업이나 회사에 투자하고, 이들을 관리하며 자금을 제공하는 활동) 중구 소공로 109 (소공동)							▷디바인코리아홀딩스(김용환·5·다른 기업이나 회사에 투자하고, 이들을 관리하며 자금을 제공하는 활동) 중구 소공로 109 (소공동)							▷디비중개법인(이경섭·10·부동산 관련 자문 및 컨설팅업) 서초구 신반포로 339 5층 (잠원동,논현빌딩)							▷디엘케이컨설팅(이장준·10·경영 컨설팅 및 상담 자문) 서초구 법원로4길 41 2층 (서초동,명광빌딩)							▷디오비제일차(김석훈·0·목적자산의 취득에 필요한 자금의 차입 및 상환"
금주(12월 20일~26일)의 신설법인,") 영등포구 국제금융로6길 7 (여의도동)							▷디자인팩토리봄(홍흥인·30·정보통신업, 영화, 비디오물 및 방송프로그램 제작업) 강남구 논현로145길 5 4층 (논현동)							▷라떼핀테크대부(김현석·300·온라인대출정보연계 대부업) 강남구 학동로55길 17 5층 (청담동)							▷래빗홀(이정석·1·콘텐츠 제작 및 유통업) 노원구 동일로174길 27 201호 (공릉동,노원사회적경제지원센터)							▷렌딩머신대부(이상규·300·온라인대출정보연계대부업) 강남구 도산대로 225 704호 (신사동,현대썬앤빌)							▷리더스페이스(이학영·500·캠핑카 리스관리업) 강남구 테헤란로4길 14 13층 (역삼동)							▷리온하우스(이영열·50·부동산컨설팅 및 부동산 매매, 임대, 전대업) 용산구 효창원로54길 15 (용문동)							▷리틀홀딩스(정찬희·10·교육컨설팅업) 강남구 압구정로30길 62 6층 (신사동)							▷마산스퀘어비티알디(정미영·0·프로젝트 파이낸싱 또는 자산유동화를 위한 대출실행 또는 대출채권의 취득) 영등포구 여의대로 66 (여의도동,케이티비빌딩)							▷마산스퀘어비티알비(정미영·0·프로젝트 파이낸싱 또는 자산유동화를 위한 대출실행 또는 대출채권의 취득) 영등포구 여의대로 66 (여의도동,케이티비빌딩)							▷마산스퀘어비티알씨쓰리(정미영·0·프로젝트 파이낸싱 또는 자산유동화를 위한 대출실행 또는 대출채권의 취득) 영등포구 여의대로 66 (여의도동,케이티비빌딩)							▷마산스퀘어비티알씨원(정미영·0·프로젝트 파이낸싱 또는 자산유동화를 위한 대출실행 또는 대출채권의 취득) 영등포구 여의대로 66 (여의도동,케이티비빌딩)							▷마산스퀘어비티알씨투(정미영·0·프로젝트 파이낸싱 또는 자산유동화를 위한 대출실행 또는 대출채권의 취득) 영등포구 여의대로 66 (여의도동,케이티비빌딩)							▷마스타페이먼츠(박성호·500·전자지급 결제대행업) 강남구 테헤란로8길 8 5층 (역삼동,동주빌딩)							▷마이더스컨설팅그룹(문상협·10·광고기획 및 대행업) 성동구 연무장5가길 7 508호 (성수동2가,현대테라스타워)							▷맙소사(박동근·2·광고기획제작업) 성동구 왕십리로 222 창업보육센터에이치아이티관 지하2층비224호 (사근동,한양대학교)							▷맥스케어환경(김영옥·100·부동산관리업) 금천구 시흥대로 97 31동 342호 (시흥동,시흥유통상가)							▷머니텍(정연성·1·인터넷관련 용역업) 강남구 역삼로 139 410호 (역삼동)							▷메이븐(김진이·10·제약 컨설팅업) 송파구 오금로15길 5-12 3층 3335호 (방이동,정환빌딩)							▷메이크에이미디어그룹(윤태양·10·연예 매니지먼트 사업) 강남구 논현로149길 35 지하 B01호 (논현동,동보빌딩)							▷모닝플러스원(박선미·50·광고 및 홍보대행업) 강서구 공항대로 213 1301동 63호 (마곡동,보타닉파크타워2차)							▷모두렌탈홀딩스(정성원·150·사회기반시설에 대한 민간투자법에 따른 사회기반시설투융자회사가 발행한 증권에 대한 투자"
금주(12월 20일~26일)의 신설법인,") 영등포구 국제금융로 10 46층 (여의도동,쓰리아이에프씨)							▷모아교육(김세호·10·온라인 교육학원 운영업) 영등포구 여의대방로 55 3층 (신길동)							▷모쿠슈라픽쳐스(박세환·1·영화 수입,수출,배급,제작업) 강남구 봉은사로67길 7 4층 (삼성동,이룸빌딩)							▷미다스에스피씨(조효선·0·목적자산의 취득에 필요한 자금의 차입 및 상환) 영등포구 국제금융로8길 31 6층 (여의도동,에스케이증권빌딩)							▷미담산업(문정혜·10·부동산 개발업) 강남구 도곡로3길 19 7층 711호 (역삼동,강남역서희스타힐스)							▷미라클강남(김용호·10·병원경영지원) 강남구 선릉로157길 14 3층 (신사동,한주빌딩)							▷바모스스포츠(김예림·30·헬스, 피트니스 센터 운영업) 용산구 독서당로 70 404호 (한남동,현대리버티하우스)							▷발렌타인제일차(조한나·0·기업 어음 증권의 발행 및 상환"
금주(12월 20일~26일)의 신설법인,") 영등포구 여의나루로 61 5층 (여의도동,하이투자증권빌딩)							▷벤하우스(박순재·10·애완동물의 분양 및 중개업) 성동구 상원1길 25 4241호 (성수동1가,에스오엘623빌딩)							▷봉정(강태식·30·부동산임대 및 공급업) 서초구 사평대로57길 12 5층 (반포동,킹덤호텔)							▷부성개발산업(윤부열·0·대출채권의 유동화를 위한 자금의 조달) 영등포구 국제금융로6길 11 (여의도동)							▷북적북적(이승환·100·공동사무공간 임대 및 개인사업자,중소기업에 대한 사무공간 서비스 제공) 종로구 대학로10길 8 3,4층 (동숭동,알파빌딩)							▷뷰티헬스신문(이호규·10·미디어 광고 및 홍보대행업) 성동구 아차산로7길 15-1 3층 308호 (성수동2가,효정빌딩)							▷브랜드바로(문성복·70·식품 제조 및 도소매업) 서초구 강남대로95길 19-4 602호 (잠원동,호영빌딩)							▷비케이신길제일차(정주환·0·사업목적의 수행에 필요한 계약의 체결"
금주(12월 20일~26일)의 신설법인,) 영등포구 국제금융로6길 17 7층 (여의도동)							▷비케이오시리아(정미영·0·여유자금의 투자 및 기타 이와 유사한 거래
금주(12월 20일~26일)의 신설법인,") 영등포구 여의대로 60 (여의도동)							▷빌라빌라콜라(김상기·0·카페운영업) 강북구 4.19로9길 4 1층 (수유동)							▷사운드에어(최기영·40·기업경영에 대한 자문업무) 강남구 봉은사로 418 5층 (삼성동,에이치에스타워)							▷사이러스테라퓨틱스(김명희·150·바이오 단백질 재조합 의약품 연구개발업) 강남구 테헤란로 518 11층 115호 (대치동,위워크서울3호유한회사 위워크 삼성역 2호점)							▷서보산업개발(구정미·10·부동산 개발업) 강남구 논현로 553 4층 (역삼동,삼정빌딩)							▷서암보험컨설팅(심상섭·30·보험대리점업) 중구 소월로 10 9층 (남대문로5가,단암타워)							▷선정글로벌(장진욱·100·인력 공급업) 광진구 아차산로 634 207호 (광장동,대오빌딩)							▷성우씨앤엘(이명옥·10·부동산 분양대행 및 위탁사업) 송파구 올림픽로 269 837호 (신천동,롯데캐슬골드)							▷세종앤다옥(김일근·50·부동산 투자 개발) 성동구 성수이로20길 3 702호 (성수동2가,세종빌딩)							▷수암바이오(이덕실·10·생명공학효소 및 탄수화물 연구, 개발, 제조, 도.소매, 판매, 유통업) 서초구 강남대로27길 9 지하1층 (양재동,수암빌딩)							▷수진커뮤니케이션(안미라·1·광고업 및 광고대행업) 서초구 신반포로41길 55 103호 (잠원동,보미리전빌)							▷스마일에셋(박원석·50·금융 컨설팅업"
금주(12월 20일~26일)의 신설법인,") 금천구 범안로 1136 105동 202호 (독산동,독산동중앙하이츠아파트)							▷스마트부동산중개법인(정태성·50·부동산중개업) 강남구 삼성로75길 52 1층 (대치동,성진빌딩)							▷스타브릿지(한상훈·1·투자컨설팅) 마포구 월드컵로36길 14 1209호 (성산동,상암두산위브센티움)							▷실버링크(소정은·10·광고대행) 강남구 논현로 616 4층 4106호 (논현동,대일빌딩)							▷써브텍스트(원장은·40·부동산 매매 및 임대업) 강남구 도산대로99길 28-16 1동 3층 301호 (청담동)							▷썬플라워네트웍스(이맹재·10·프렌차이즈업) 동대문구 경희대로1길 8-11 6층 (회기동)							▷씨디비파트너스(최두범·10·기업 및 사업 등에 관한 투자사업) 강남구 논현로159길 36-4 지하 비01호 (신사동)							▷씨비컨설팅(윤익상·10·경영컨설팅) 종로구 세종대로23길 47 603호 에스-603 (당주동)							▷씨엠플러스(오승호·3·단체급식업) 금천구 가산디지털1로 30 1407호 (가산동,에이스하이엔드타워10)							▷아리산업(이수권·30·건설 폐기물 수집,운반업"
