title_dt,body_dt
"[채용정보]롯데, 내달 대졸신입 공채...NHN 기술부문 신입 모집","△카카오는 다음달 4일까지 신입 개발자 블라인드 채용을 위한 입사 지원을 받는다. 지원자들은 카카오, 카카오게임즈, 카카오페이, 카카오커머스 포함 총 7개 기업 중 1개 기업을 선택해 지원 가능하다. 채용 방식은 ‘블라인드’ 형식으로 진행한다. 지원자들은 이름·이메일·연락처·지원회사만 적으면 된다. 지원 자격은 입사 후 풀타임 근무가 가능하며 병역필 또는 면제자로 해외여행에 결격 사유가 없어야 한다. 지원서 접수 후 온라인 코딩테스트, 오프라인 코딩테스트, 1차 인터뷰, 2차 인터뷰 과정을 거쳐 최종 합격하게 된다."
"[채용정보]롯데, 내달 대졸신입 공채...NHN 기술부문 신입 모집","△NHN은 다음달 17일 14시까지 하반기 기술부문 신입사원 공개채용을 진행한다. 모집부문은 SW개발 부문으로 서비스 구축에 필요한 클라우드·미디어·검색·광고 등의 플랫폼 개발, 모바일, PC 환경에서의 웹 서비스 개발 업무를 담당한다. 지원자격은 병역필 혹은 면제로 해외여행에 결격사유가 없는 사람으로 내년 2월 또는 8월 졸업예정자 및 기졸업자다. 전형절차는 서류전형 Pre-Test 1차, Pre-Test 2차, Feel the TOAST(NHN 체험형 면접 전형), 최종면접 순으로 진행될 예정이다."
"[채용정보]롯데, 내달 대졸신입 공채...NHN 기술부문 신입 모집","△신한캐피탈은 다음달 10일까지 신규직원 채용을 진행한다. ICT(개발), 디지털 포함 총 4개 직무에서 정규직 대졸신입 사원을 채용한다. 채용전형은 서류전형, 필기전형(신입), 1차 면접, 2차 면접, 채용검진 순으로 진행된다. 신한캐피탈은 같은 기간 동안 경력(정규직)직 각 부문 채용도 함께 진행한다."
