title_dt,body_dt
"롯데카드, 신임대표에 조좌진 전 현대캐피탈아메리카 대표 내정","조좌진 대표이사 후보는 1967년생으로 현대카드 마케팅총괄본부장, 전략본부장, 올리버 와이만(Oliver Wyman) 한국대표 등을 지냈습니다."
"롯데카드, 신임대표에 조좌진 전 현대캐피탈아메리카 대표 내정",조 후보는 오는 3월말 주주총회와 이사회를 통해 최종 선임될 예정입니다.
"롯데카드, 신임대표에 조좌진 전 현대캐피탈아메리카 대표 내정","한편, 2017년부터 롯데카드를 이끌어 온 김창권 대표이사 사장은 상근 부회장으로 승진합니다."
"[시그널] 삼성의 별 권오현·효성 전 사장까지···재계 거물들, 스타트업 투자 '노크'","벤처투자 역대 최대치 지속···""후학 양성하자"" 나서"
"[시그널] 삼성의 별 권오현·효성 전 사장까지···재계 거물들, 스타트업 투자 '노크'","24일 투자은행(IB) 업계에 따르면 최근 권 회장이 주말을 비롯한 개인시간을 이용해 벤처 업계 관계자와의 교류를 이어가고 있다. 테크 기반 초기 스타트업, TBT와 같은 벤처캐피털(VC) 등 업계 인사들과 만남을 가진 것으로 전해진다."
"[시그널] 삼성의 별 권오현·효성 전 사장까지···재계 거물들, 스타트업 투자 '노크'","TBT는 지난 2018년 설립된 신생 투자사로 네이버·한게임 등 정보기술(IT) 업계 출신이 주축인 곳이다. 네이버·아모레퍼시픽과 같은 대기업으로부터 출자를 받아 1,100억원 규모의 ‘글로벌 성장 제1호 펀드’를 조성했다. 권 회장은 국내에서 손꼽히는 IT 전문가인 만큼 관련 사업에 대한 조언과 고민을 나눈 것으로 알려졌다. 일각에서는 권 회장이 벤처투자에 직접 사재를 출연하거나 유관업계로 진출할 것이라는 관측도 내놓는다. 2017년 11월 지금의 자리에 오른 권 회장은 현업에서 물러나 원로 경영인으로서 기술자문과 후진 양성에 매진해왔다."
"[시그널] 삼성의 별 권오현·효성 전 사장까지···재계 거물들, 스타트업 투자 '노크'","지난해 10월에는 정윤택 전 효성 사장이 더시드그룹의 회장으로 적을 옮겼다. 정 회장은 36년간 효성에 재임하면서 효성 최고재무관리자(CFO), 효성캐피탈 대표 등을 거친 후 동성코퍼레이션과 미래에셋대우 사외이사를 지냈다. 정 회장은 스타트업 발굴과 양성을 비롯해 창업 생태계 활성화에 집중할 예정이다. 2018년 설립된 더시드그룹은 컴퍼니빌더를 표방하고 있다. 컴퍼니빌더란 초기 스타트업의 사업모델을 말 그대로 세워 안착하도록 돕는 역할을 한다."
"[시그널] 삼성의 별 권오현·효성 전 사장까지···재계 거물들, 스타트업 투자 '노크'","이처럼 내로라하는 재계 거물들이 벤처투자 업계로 발을 옮기고 있다. 한국 경제를 이끌어온 기존 산업의 성장세가 꺾이고 스타트업이 새로운 동력으로 떠오르자 그간의 네트워크와 노하우를 십분 활용해 후학은 물론 관련 산업 육성에 나선 것이다. 벤처투자 규모는 역대 최대치를 계속 갈아치우고 있다. 2017년까지 2조원대에 머물던 투자금액은 이듬해 3조원대를 넘어섰고 지난해에는 4조2,777억원으로 늘었다. 정부는 올해 벤처기업 육성을 위해 모태펀드 1조3,000억원을 출자해 약 2조5,000억원의 벤처펀드를 조성한다는 계획도 내놓았다. 특히 연기금과 공제회뿐 아니라 주요 대기업을 대상으로 설명회를 개최해 민간 출자 규모를 키울 방침이다. 삼성그룹은 이미 일종의 기업형 벤처캐피털(CVC)인 삼성벤처투자를 통해 오픈이노베이션 역할을 하고 있으며 롯데그룹과 포스코 또한 자체적인 투자사인 롯데액셀러레이터와 포스코기술투자를 각각 가지고 있다."
"[시그널] 삼성의 별 권오현·효성 전 사장까지···재계 거물들, 스타트업 투자 '노크'","이 같은 움직임은 미국 등에서는 이미 안착됐다. 미국 실리콘밸리에서는 창업자 출신과 재계 유명 인사들이 창업 생태계를 조성하고 막강한 영향력을 행사하고 있다. 틸캐피털을 운영 중인 페이팔 공동창업자 피터 틸, 일론 머스크 테슬라 최고경영자(CEO), 유튜브 공동창업자인 채드 헐리 등이 그 예다. 국내에서도 1세대 벤처 주역들이 직접 투자사를 차리는 일은 흔하게 찾아볼 수 있다. 네이버는 일본에 거점을 둔 라인벤처스를 통해 해외 투자처를 발굴하고 있으며 국내에서는 기술 전문 액셀러레이터인 D2SF를 운영하고 있다. 이해진 네이버 글로벌투자책임자(GIO)는 창업자 양성에 관심이 깊은 것으로 알려졌다. 김범수 카카오 의장은 2012년 케이큐브벤처스(현 카카오벤처스)를 설립했다. 권도균 이니시스 창업자는 2010년 액셀러레이터인 프라이머를 설립해 초기 스타트업 투자영역을 확장해왔으며 신현성 티몬 의장 또한 VC인 베이스인베스트먼트를 차려 투자 업계에 발을 들였다."
"[시그널] 삼성의 별 권오현·효성 전 사장까지···재계 거물들, 스타트업 투자 '노크'","최근 들어서는 스타트업들이 직접 투자사를 차리고 있다. 지난해 직방은 프롭테크 전문 VC인 브리즈인베스트먼트를, 핑크퐁으로 유명한 스마트스터디 역시 CVC인 스마트스터디벤처스를 설립해 투자를 이어가고 있다. 스타트업이 후배 스타트업을 직접 키워 사업역량을 강화하겠다는 것이다. 업계 관계자는 “성과를 낸 창업자들이 개인적으로 투자활동을 이어가거나 아예 회사를 설립하는 사례는 관행처럼 찾아볼 수 있지만 재계의 어른들이 업계로 진출하는 것은 새로운 흐름”이라며 “국내 창업 생태계가 그만큼 발전하고 성장하고 있다는 방증”이라고 말했다."
